state,county,city,zip_code,plus_four
CA,Alameda,Alameda,94501,
CA,Alameda,Alameda,94502,
CA,Alameda,Fremont,94536,
CA,Alameda,Fremont,94537,
CA,Alameda,Fremont,94538,
CA,Alameda,Fremont,94539,
CA,Alameda,Hayward,94540,
CA,Alameda,Hayward,94541,
CA,Alameda,Hayward,94542,
CA,Alameda,Hayward,94543,
CA,Alameda,Hayward,94544,
CA,Alameda,Hayward,94545,
CA,Alameda,Castro Valley,94546,
CA,Alameda,Hayward,94546,
CA,Alameda,Livermore,94550,
CA,Alameda,Livermore,94551,
CA,Alameda,Castro Valley,94552,
CA,Alameda,Hayward,94552,
CA,Alameda,Fremont,94555,
CA,Alameda,Mount Eden,94557,
CA,Alameda,Hayward,94557,
CA,Alameda,Newark,94560,
CA,Alameda,Pleasanton,94566,
CA,Alameda,Dublin,94568,
CA,Alameda,Pleasanton,94568,
CA,Alameda,San Leandro,94577,
CA,Alameda,San Leandro,94578,
CA,Alameda,San Leandro,94579,
CA,Alameda,San Leandro,94580,
CA,Alameda,Sunol,94586,
CA,Alameda,Union City,94587,
CA,Alameda,Pleasanton,94588,
CA,Alameda,Oakland,94601,
CA,Alameda,Oakland,94602,
CA,Alameda,Piedmont,94602,
CA,Alameda,Oakland,94603,
CA,Alameda,Oakland,94604,
CA,Alameda,Oakland,94605,
CA,Alameda,Oakland,94606,
CA,Alameda,Oakland,94607,
CA,Alameda,Emeryville,94608,
CA,Alameda,Oakland,94608,
CA,Alameda,Oakland,94609,
CA,Alameda,Oakland,94610,
CA,Alameda,Piedmont,94611,
CA,Alameda,Oakland,94612,
CA,Alameda,Oakland,94613,
CA,Alameda,Oakland,94614,
CA,Alameda,Oakland,94615,
CA,Alameda,Oakland,94617,
CA,Alameda,Oakland,94618,
CA,Alameda,Piedmont,94618,
CA,Alameda,Oakland,94619,
CA,Alameda,Oakland,94620,
CA,Alameda,Piedmont,94620,
CA,Alameda,Oakland,94621,
CA,Alameda,Oakland,94623,
CA,Alameda,Oakland,94624,
CA,Alameda,Oakland,94661,
CA,Alameda,Emeryville,94662,
CA,Alameda,Oakland,94662,
CA,Alameda,Berkeley,94701,
CA,Alameda,Berkeley,94702,
CA,Alameda,Berkeley,94703,
CA,Alameda,Berkeley,94704,
CA,Alameda,Berkeley,94705,
CA,Alameda,Albany,94706,
CA,Alameda,Kensington,94706,
CA,Alameda,Berkeley,94706,
CA,Alameda,Kensington,94707,
CA,Alameda,Berkeley,94707,
CA,Alameda,Kensington,94708,
CA,Alameda,Berkeley,94708,
CA,Alameda,Berkeley,94709,
CA,Alameda,Albany,94710,
CA,Alameda,Berkeley,94710,
CA,Alameda,Berkeley,94712,
CA,Alameda,Berkeley,94720,
CA,Santa Clara,Los Altos,94022,
CA,Santa Clara,Los Altos Hills,94022,
CA,Santa Clara,Los Altos,94023,
CA,Santa Clara,Los Altos,94024,
CA,Santa Clara,Los Altos Hills,94024,
CA,Santa Clara,Moffett Field,94035,
CA,Santa Clara,Mountain View,94035,
CA,Santa Clara,Mountain View,94039,
CA,Santa Clara,Mountain View,94040,
CA,Santa Clara,Mountain View,94041,
CA,Santa Clara,Mountain View,94042,
CA,Santa Clara,Mountain View,94043,
CA,Santa Clara,Sunnyvale,94085,
CA,Santa Clara,Sunnyvale,94086,
CA,Santa Clara,Sunnyvale,94087,
CA,Santa Clara,Onizuka Afb,94088,
CA,Santa Clara,Sunnyvale,94088,
CA,Santa Clara,Sunnyvale,94090,
CA,Santa Clara,Palo Alto,94301,
CA,Santa Clara,Palo Alto,94302,
CA,Santa Clara,East Palo Alto,94303,
CA,Santa Clara,Palo Alto,94303,
CA,Santa Clara,Palo Alto,94304,
CA,Santa Clara,Stanford,94305,
CA,Santa Clara,Palo Alto,94305,
CA,Santa Clara,Palo Alto,94306,
CA,Santa Clara,Stanford,94309,
CA,Santa Clara,Palo Alto,94309,
CA,Santa Clara,Palo Alto,94310,
CA,Santa Clara,Alviso,95002,
CA,Santa Clara,Campbell,95008,
CA,Santa Clara,Campbell,95009,
CA,Santa Clara,Campbell,95008,
CA,Santa Clara,Coyote,95013,
CA,Santa Clara,Monte Vista,95014,
CA,Santa Clara,Permanente,95014,
CA,Santa Clara,Cupertino,95014,
CA,Santa Clara,Cupertino,95015,
CA,Santa Clara,Gilroy,95020,
CA,Santa Clara,Gilroy,95021,
CA,Santa Clara,Holy City,95026,
CA,Santa Clara,Los Gatos,95030,
CA,Santa Clara,Monte Sereno,95030,
CA,Santa Clara,Los Gatos,95031,
CA,Santa Clara,Los Gatos,95032,
CA,Santa Clara,Milpitas,95035,
CA,Santa Clara,Milpitas,95036,
CA,Santa Clara,Morgan Hill,95037,
CA,Santa Clara,Morgan Hill,95038,
CA,Santa Clara,New Almaden,95042,
CA,Santa Clara,Redwood Estates,95044,
CA,Santa Clara,San Martin,95046,
CA,Santa Clara,Santa Clara,95050,
CA,Santa Clara,Santa Clara,95051,
CA,Santa Clara,Santa Clara,95052,
CA,Santa Clara,Santa Clara,95054,
CA,Santa Clara,Santa Clara,95055,
CA,Santa Clara,Santa Clara,95056,
CA,Santa Clara,Saratoga,95070,
CA,Santa Clara,Saratoga,95071,
CA,Santa Clara,San Jose,95101,
CA,Santa Clara,San Jose,95102,
CA,Santa Clara,San Jose,95103,
CA,Santa Clara,San Jose,95106,
CA,Santa Clara,San Jose,95108,
CA,Santa Clara,San Jose,95109,
CA,Santa Clara,San Jose,95110,
CA,Santa Clara,San Jose,95111,
CA,Santa Clara,San Jose,95112,
CA,Santa Clara,San Jose,95113,
CA,Santa Clara,San Jose,95114,
CA,Santa Clara,San Jose,95115,
CA,Santa Clara,San Jose,95116,
CA,Santa Clara,San Jose,95117,
CA,Santa Clara,San Jose,95118,
CA,Santa Clara,San Jose,95119,
CA,Santa Clara,San Jose,95120,
CA,Santa Clara,San Jose,95121,
CA,Santa Clara,San Jose,95122,
CA,Santa Clara,San Jose,95123,
CA,Santa Clara,San Jose,95124,
CA,Santa Clara,San Jose,95125,
CA,Santa Clara,San Jose,95126,
CA,Santa Clara,San Jose,95127,
CA,Santa Clara,San Jose,95128,
CA,Santa Clara,San Jose,95129,
CA,Santa Clara,San Jose,95130,
CA,Santa Clara,San Jose,95131,
CA,Santa Clara,San Jose,95132,
CA,Santa Clara,San Jose,95132,
CA,Santa Clara,San Jose,95133,
CA,Santa Clara,San Jose,95134,
CA,Santa Clara,San Jose,95135,
CA,Santa Clara,San Jose,95136,
CA,Santa Clara,San Jose,95137,
CA,Santa Clara,San Jose,95138,
CA,Santa Clara,San Jose,95139,
CA,Santa Clara,Mount Hamilton,95140,
CA,Santa Clara,San Jose,95140,
CA,Santa Clara,San Jose,95141,
CA,Santa Clara,San Jose,95142,
CA,Santa Clara,San Jose,95148,
CA,Santa Clara,San Jose,95150,
CA,Santa Clara,San Jose,95151,
CA,Santa Clara,San Jose,95152,
CA,Santa Clara,San Jose,95153,
CA,Santa Clara,San Jose,95154,
CA,Santa Clara,San Jose,95155,
CA,Santa Clara,San Jose,95156,
CA,Santa Clara,San Jose,95157,
CA,Santa Clara,San Jose,95158,
CA,Santa Clara,San Jose,95159,
CA,Santa Clara,San Jose,95160,
CA,Santa Clara,San Jose,95161,
CA,Santa Clara,San Jose,95164,
CA,Santa Clara,San Jose,95170,
CA,Santa Clara,San Jose,95171,
CA,Santa Clara,San Jose,95172,
CA,Santa Clara,San Jose,95173,
